DOC ID	TYPE	REGO	LEVEL	SPORT	AGE	NATIONALITY	NATIONALITY ISN'T	MANDATORY	USEEXISTING	FROM AGE	FROM AGE	INT_TRANSFER_NEW	INT_LOAN_NEW
2	COACH	NEW	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
3	COACH	NEW	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
1	COACH	NEW	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
5	COACH	NEW	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		0	1	0	0	0	0
2	COACH	NEW	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
3	COACH	NEW	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
1	COACH	NEW	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
5	COACH	NEW	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	0	1	0	0	0	0
2	COACH	RENEWAL	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
3	COACH	RENEWAL	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
1	COACH	RENEWAL	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
5	COACH	RENEWAL	PROFESSIONAL	FOOTBALL	ADULT	|AZ|		0	1	0	0	0	0
2	COACH	RENEWAL	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
3	COACH	RENEWAL	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
1	COACH	RENEWAL	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
5	COACH	RENEWAL	PROFESSIONAL	FOOTBALL	ADULT		|AZ|	0	1	0	0	0	0
													
2	COACH	NEW	AMATEUR	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
1	COACH	NEW	AMATEUR	FOOTBALL	ADULT	|AZ|		1	1	0	0	0	0
5	COACH	NEW	AMATEUR	FOOTBALL	ADULT	|AZ|		0	1	0	0	0	0
2	COACH	NEW	AMATEUR	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
1	COACH	NEW	AMATEUR	FOOTBALL	ADULT		|AZ|	1	1	0	0	0	0
