"EntityCode","StateName","RegionName","ZoneName","Status","SubType","LocalName","LocalShortName","LocalLanguageCode","LatinName","LatinShortName","FoundationDate","DissolutionDate","Country","WebURL","Fax","Phone","Address1","Address2","PostalCode","Region","State","Email","Discipline","Gender","MAID","RealmApproved","ContactCountry","OrganisationLevel","LegalID","Added"
"FAS000001","","","","ACTIVE","CLUB","Albirex Niigata Football Club (Singapore)","ALBIREX","1","","Albirex Niigata Football Club (Singapore)","2004-03-10","","SG","www.albirex.com.sg","63340510","63340511","21 Jurong East St 31","# 04-04 Jurong East Sports Complex","609517","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000002","","","","ACTIVE","CLUB","Balestier Khalsa Football Club","BKFC","1","","Balestier Khalsa Football Club","1996-01-17","","SG","www.balestierkhalsafc.com","63565006","63560049","297 Lorong 6 Toa Payoh","Toa Payoh Stadium (Gate 3)","319389","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000003","","","","ACTIVE","CLUB","Geylang International Football Club","GIFC","1","","Geylang International Football Club","1996-01-16","","SG","www.gifc.org.sg","62439089","64417873","1 Bedok North St 2","Bedok Stadium","469642","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000004","","","","ACTIVE","CLUB","Home United Football Club","HUFC","1","","Home United Football Club","1997-02-12","","SG","www.hufc.sg","63525201","63525611","7 Bishan Street 14","# 01-01 Bishan Stadium","579784","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000005","","","","ACTIVE","CLUB","Hougang United Football Club","HGFC","1","","Hougang United Football Club","1998-03-17","","SG","www.hgfc.com.sg","63858211","63855657","100 Hougang Avenue 2","Hougang Stadium","538856","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000006","","","","ACTIVE","CLUB","Tampines Rovers Football Club","TRFC","1","","Tampines Rovers Football Club","1996-01-16","","SG","www.tampinesroversfc.com","67833627","67846670","10 West Coast Walk","Clementi Stadium","127156","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000007","","","","ACTIVE","CLUB","Tanjong Pagar United Football Club","TPUFC","1","","Tanjong Pagar United Football Club","1996-01-16","","SG","www.tpufc.org","64796938","64796930","473 Stirling Road","Queenstown Stadium","148948","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000008","","","","ACTIVE","CLUB","Warriors Football Club (Singapore)","WARRIORS","1","","Warriors Football Club (Singapore)","1996-01-16","","SG","www.safwarriors.com.sg","68928687","68925811","1 Choa Chu Kang St 53","Choa Chu Kang Stadium","689236","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000009","","","","ACTIVE","CLUB","Woodlands Wellington Football Club","WWFC","1","","Woodlands Wellington Football Club","1996-01-16","","SG","www.wwfc.org.sg","63671082","63671080","1 Woodlands St 12","Woodlands Stadium","738619","","","","ALL","ALL","","1","SG","BOTH","",""
"FAS000010","","","","ACTIVE","CLUB","Courts Young Lions","CYL","1","","Courts Young Lions","2002-01-02","","SG","www.courtsyounglions.com.sg","62933728","62931477","100 Tyrwhitt Road # 01-02","Jalan Besar Stadium","207542","","","","ALL","ALL","","1","SG","BOTH","",""
