"VenueCode","Capacity","Sport","GroundType","Length","Width"
"FAS100001","7000","FOOTBALL","TURF 2 STAR","",""
"FAS100002","","FOOTBALL","GRASS","",""
"FAS100003","3400","FOOTBALL","GRASS","",""
"FAS100004","1200","FOOTBALL","TURF 1 STAR","",""
"FAS100005","","FOOTBALL","GRASS","",""
"FAS100006","2700","FOOTBALL","GRASS","",""
"FAS100007","3900","FOOTBALL","GRASS","",""
"FAS100008","3864","FOOTBALL","GRASS","",""
"FAS100009","3800","FOOTBALL","GRASS","",""
"FAS100010","4000","FOOTBALL","GRASS","",""
"FAS100011","3000","FOOTBALL","GRASS","",""
"FAS100012","4254","FOOTBALL","GRASS","",""
"FAS100013","4000","FOOTBALL","GRASS","",""
"FAS100014","4300","FOOTBALL","GRASS","",""
"FAS100015","3178","FOOTBALL","GRASS","",""
"FAS100016","3000","FOOTBALL","GRASS","",""
"FAS100017","3600","FOOTBALL","GRASS","",""
